instruction_va	type_string	evidence_strength	semantic_dispatcher_edge_proven
0xd0e22d	tibia::authentication::TLoginProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd0e2dd	tibia::bossbestiary::TBossBestiaryProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd0e50d	tibia::chat::TChatProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd290dd	tibia::container::TContainerProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2943d	tibia::creatures::TCreatureProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2952d	tibia::creatures::TUnjustifiedPointsProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2961d	tibia::creatures::TVipProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2989d	tibia::cyclopedia::TBestiaryTrackerProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd29a3d	tibia::cyclopedia::TCyclopediaProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd29ffd	tibia::dailyreward::TDailyRewardProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a0ed	tibia::effects::TEffectProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a1dd	tibia::exaltation::TExaltationProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a2cd	tibia::exivaoptions::TExivaOptionsProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a45d	tibia::friends::TFriendsProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a5ed	tibia::game::TBlessingsProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a69d	tibia::game::TBossDifficultySelectionProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a73d	tibia::game::TEditTextProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a87d	tibia::game::TGameEventProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2a8cd	tibia::game::TGameProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2ad4d	tibia::game::TPlayerProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2ae4d	tibia::game::TPremiumProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2af1d	tibia::game::TServerModalDialogProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xd2b04d	tibia::game::TSpellBookProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd493d	tibia::highscores::THighscoresProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd4a2d	tibia::imbuing::TImbuingProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd4e8d	tibia::input::TGatherAllProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd536d	tibia::quickloot::TManagedContainersProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd556d	tibia::market::TMarketProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd583d	tibia::minimap::TMinimapProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd5bad	tibia::network::TNetworkQualityProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd5cfd	tibia::news::TNewsProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd5f4d	tibia::prey::TPreyProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdd5fed	tibia::proficiency::TProficiencyProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdfe0ed	tibia::questlog::TQuestLogProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdfe30d	tibia::reporting::TBugReportProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdfe35d	tibia::reporting::TRuleViolationProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdfe5dd	tibia::skillwheel::TSkillWheelProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdfea5d	tibia::sound::TSoundProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdfebad	tibia::spells::TSpellsProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdfeebd	tibia::store::TStoreProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdff27d	tibia::taskboard::TTaskboardProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdff36d	tibia::teamfinder::TTeamFinderProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdff4ad	tibia::trade::TCharacterTradeProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdff54d	tibia::trade::TNPCTradeProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdff68d	tibia::trade::TPlayerTradeProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdff7dd	tibia::tutorial::TTutorialProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
0xdffb2d	tibia::worldmap::TWorldmapProtocolMessageHandler	DIRECT_CODE_TO_STRING_XREF	false
